"","rank","name","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"1",1,"Auburn University","Alabama",54400,104500,51,31,"Alabama","AL","Public","4 Year",13332,11276,24608,30524,43856
"2",2,"University of Alabama in Huntsville","Alabama",57500,103900,59,45,"Alabama","AL","Public","4 Year",10094,10714,20808,22362,32456
"3",3,"The University of Alabama","Alabama",52300,97400,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Tuskegee University","Alabama",54500,93500,61,30,"Alabama","AL","Private","4 Year",9650,22170,31820,22170,31820
"5",5,"Samford University","Alabama",48400,90500,52,3,"Alabama","AL","Private","4 Year",10550,31650,42200,31650,42200
"6",6,"Spring Hill College","Alabama",46600,89100,53,12,"Alabama","AL","Private","4 Year",13462,39464,52926,39464,52926
"7",7,"Birmingham Southern College","Alabama",49100,88300,48,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"University of Alabama at Birmingham","Alabama",48600,87200,57,17,"Alabama","AL","Public","4 Year",6400,10710,17110,24630,31030
"9",9,"University of South Alabama","Alabama",47700,86400,56,17,"Alabama","AL","Public","4 Year",7620,9870,17490,19740,27360
"10",10,"Alabama A&M University","Alabama",48700,83500,58,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Troy University","Alabama",44500,81500,60,8,"Alabama","AL","Public","4 Year",8185,12460,20645,22875,31060
"12",12,"Jacksonville State University","Alabama",43800,80000,61,7,"Alabama","AL","Public","4 Year",8100,10425,18525,20145,28245
"13",13,"Auburn University at Montgomery","Alabama",45000,79600,61,12,"Alabama","AL","Public","4 Year",6980,10288,17268,22048,29028
"14",14,"Huntingdon College","Alabama",42400,78900,69,14,"Alabama","AL","Private","4 Year",9750,27400,37150,27400,37150
"15",15,"Oakwood University","Alabama",43500,78800,71,16,"Alabama","AL","Private","4 Year",9312,16720,26032,16720,26032
"16",15,"Athens State University","Alabama",45000,78800,51,9,"Alabama","AL","Public","4 Year",NA,6810,6810,12870,12870
"17",17,"University of West Alabama","Alabama",42700,76100,61,4,"Alabama","AL","Public","4 Year",8116,10040,18156,18490,26606
"18",18,"University of North Alabama","Alabama",43000,75600,61,6,"Alabama","AL","Public","4 Year",9200,10370,19570,18680,27880
"19",19,"University of Mobile","Alabama",40600,74100,77,7,"Alabama","AL","Private","4 Year",9600,22820,32420,22820,32420
"20",20,"Alabama State University","Alabama",39800,71500,61,16,"Alabama","AL","Public","4 Year",5422,11068,16490,19396,24818
"21",21,"Faulkner University","Alabama",39400,71300,61,2,"Alabama","AL","Private","4 Year",7750,21690,29440,21690,29440
"22",22,"University of Montevallo","Alabama",38900,70700,49,7,"Alabama","AL","Public","4 Year",9330,12760,22090,25780,35110
"23",23,"Judson College","Alabama",37900,67600,65,13,"Alabama","AL","Private","4 Year",10590,18510,29100,18510,29100
"24",24,"Amridge University","Alabama",35700,65900,NA,0,"Alabama","AL","Private","4 Year",NA,6900,6900,6900,6900
"25",25,"Miles College","Alabama",34800,65100,64,19,"Alabama","AL","Private","4 Year",7042,11604,18646,11604,18646
"26",1,"University of Alaska Fairbanks","Alaska",59100,101800,54,20,"Alaska","AK","Public","4 Year",8930,8087,17017,24257,33187
"27",2,"University of Alaska Anchorage","Alaska",56000,101000,57,10,"Alaska","AK","Public","4 Year",12200,7688,19888,23858,36058
"28",3,"Alaska Pacific University","Alaska",50300,90000,67,6,"Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130
"29",1,"Embry-Riddle Aeronautical University-Prescott","Arizona",65600,117900,59,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2,"University of Arizona","Arizona",56100,101000,51,23,"Arizona","AZ","Public","4 Year",12550,12487,25037,36386,48936
"31",3,"Arizona State University-Tempe","Arizona",54500,100900,52,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",4,"Northern Arizona University","Arizona",49600,90000,56,12,"Arizona","AZ","Public","4 Year",10282,11564,21846,25828,36110
"33",5,"Arizona Christian University","Arizona",42600,76600,NA,7,"Arizona","AZ","Private","4 Year",10674,26796,37470,26796,37470
"34",6,"Ottawa University-Phoenix","Arizona",42000,74600,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",7,"Prescott College","Arizona",41200,73500,69,0,"Arizona","AZ","Private","4 Year",7700,31485,39185,31485,39185
"36",1,"University of Arkansas","Arkansas",52500,98000,49,18,"Arkansas","AR","Public","4 Year",11020,9130,20150,25168,36188
"37",2,"Hendrix College","Arkansas",48100,90300,58,33,"Arkansas","AR","Private","4 Year",12284,45790,58074,45790,58074
"38",3,"University of Arkansas for Medical Sciences","Arkansas",51700,89100,84,3,"Arkansas","AR","Public","4 Year",NA,8197,8197,15973,15973
"39",4,"Harding University","Arkansas",49200,88600,47,10,"Arkansas","AR","Private","4 Year",7044,20135,27179,20135,27179
"40",5,"John Brown University","Arkansas",47000,82700,53,9,"Arkansas","AR","Private","4 Year",9224,26928,36152,26928,36152
"41",6,"Arkansas State University-Main Campus","Arkansas",44600,81400,52,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",7,"University of Arkansas at Little Rock","Arkansas",45600,80800,55,13,"Arkansas","AR","Public","4 Year",8930,8966,17896,21206,30136
"43",8,"Ouachita Baptist University","Arkansas",44100,80200,58,18,"Arkansas","AR","Private","4 Year",7880,26790,34670,26790,34670
"44",9,"Southern Arkansas University Main Campus","Arkansas",42800,80100,56,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",10,"Henderson State University","Arkansas",42900,79800,57,5,"Arkansas","AR","Public","4 Year",7504,8436,15940,10086,17590
"46",10,"University of Central Arkansas","Arkansas",44900,79800,52,8,"Arkansas","AR","Public","4 Year",6854,8751,15605,15274,22128
"47",12,"University of Arkansas at Monticello","Arkansas",43500,78300,61,2,"Arkansas","AR","Public","4 Year",6824,7696,14520,13546,20370
"48",13,"Arkansas Tech University","Arkansas",45000,76900,54,7,"Arkansas","AR","Public","4 Year",7870,9068,16938,15848,23718
"49",14,"University of the Ozarks","Arkansas",42300,74500,58,16,"Arkansas","AR","Private","4 Year",7400,24230,31630,24230,31630
